location,date,total_cases,total_deaths
Japan,14,0.0,0.0
Japan,15,0.0,0.0
Japan,16,0.0,0.0
Japan,17,0.0,0.0
Japan,18,0.0,0.0
Japan,19,0.0,0.0
Japan,20,0.0,0.0
Japan,21,0.0,0.0
Japan,22,0.0,0.0
Japan,23,0.0,0.0
Japan,24,0.0,0.0
Japan,25,1.0,0.0
Japan,26,1.0,0.0
Japan,27,1.0,0.0
Japan,28,1.0,0.0
Japan,29,1.0,0.0
Japan,30,1.0,0.0
Japan,31,1.0,0.0
Japan,32,1.0,0.0
Japan,33,1.0,0.0
Japan,34,1.0,0.0
Japan,35,1.0,0.0
Japan,36,2.0,0.0
Japan,37,3.0,0.0
Japan,38,4.0,0.0
Japan,39,4.0,0.0
Japan,40,7.0,0.0
Japan,41,8.0,0.0
Japan,42,12.0,0.0
Japan,43,13.0,0.0
Japan,44,15.0,0.0
Japan,45,20.0,0.0
Japan,46,20.0,0.0
Japan,47,23.0,0.0
Japan,48,25.0,0.0
Japan,49,25.0,0.0
Japan,50,25.0,0.0
Japan,51,25.0,0.0
Japan,52,25.0,0.0
Japan,53,26.0,0.0
Japan,54,28.0,0.0
Japan,55,28.0,1.0
Japan,56,33.0,1.0
Japan,57,40.0,1.0
Japan,58,52.0,1.0
Japan,59,58.0,1.0
Japan,60,65.0,1.0
Japan,61,73.0,1.0
Japan,62,74.0,1.0
Japan,63,93.0,1.0
Japan,64,105.0,1.0
Japan,65,132.0,1.0
Japan,66,144.0,1.0
Japan,67,156.0,1.0
Japan,68,164.0,2.0
Japan,69,186.0,4.0
Japan,70,210.0,4.0
Japan,71,230.0,5.0
Japan,72,239.0,6.0
Japan,73,254.0,6.0
Japan,74,268.0,6.0
Japan,75,284.0,6.0
Japan,76,317.0,6.0
Japan,77,349.0,6.0
Japan,78,408.0,6.0
Japan,79,455.0,6.0
Japan,80,489.0,10.0
Japan,81,514.0,10.0
Japan,82,568.0,15.0
Japan,83,619.0,16.0
Japan,84,675.0,19.0
Japan,85,716.0,22.0
Japan,86,780.0,22.0
Japan,87,814.0,27.0
Japan,88,829.0,29.0
Japan,89,873.0,29.0
Japan,90,914.0,29.0
Japan,91,950.0,33.0
Japan,92,996.0,35.0
Japan,93,1046.0,40.0
Japan,94,1089.0,40.0
Japan,95,1128.0,42.0
Japan,96,1193.0,43.0
Japan,97,1291.0,45.0
Japan,98,1387.0,46.0
Japan,99,1499.0,49.0
Japan,100,1693.0,52.0
Japan,101,1866.0,54.0
Japan,102,1953.0,56.0
Japan,103,2178.0,57.0
Japan,104,2556.0,60.0
Japan,105,2617.0,63.0
Japan,106,2935.0,69.0
Japan,107,3271.0,70.0
Japan,108,3654.0,73.0
Japan,109,3906.0,80.0
Japan,110,4257.0,81.0
Japan,111,4768.0,85.0
Japan,112,5347.0,88.0
Japan,113,6005.0,94.0
Japan,114,6748.0,98.0
Japan,115,7255.0,102.0
Japan,116,7645.0,109.0
Japan,117,8100.0,119.0
Japan,118,8582.0,136.0
Japan,119,9167.0,148.0
Japan,120,9795.0,154.0
Japan,121,10361.0,161.0
Japan,122,10751.0,171.0
Japan,123,11119.0,186.0
Japan,124,11496.0,277.0
Japan,125,11919.0,287.0
Japan,126,12388.0,317.0
Japan,127,12829.0,334.0
Japan,128,13182.0,348.0
Japan,129,13385.0,351.0
Japan,130,13576.0,376.0
Japan,131,13852.0,389.0
Japan,132,14088.0,415.0
Japan,133,14281.0,432.0
Japan,134,14545.0,458.0
Japan,135,14839.0,492.0
Japan,136,15057.0,510.0
Japan,137,15231.0,521.0
Japan,138,15354.0,543.0
Japan,139,15463.0,551.0
Japan,140,15547.0,557.0
Japan,141,15649.0,600.0
Japan,142,15747.0,613.0
Japan,143,15798.0,621.0
Japan,144,15874.0,643.0
Japan,145,16024.0,668.0
Japan,146,16079.0,687.0
Japan,147,16193.0,710.0
Japan,148,16237.0,725.0
Japan,149,16285.0,744.0
Japan,150,16305.0,749.0
Japan,151,16365.0,749.0
Japan,152,16385.0,771.0
Japan,153,16424.0,777.0
Japan,154,16513.0,796.0
Japan,155,16536.0,808.0
Japan,156,16550.0,820.0
Japan,157,16581.0,830.0
Japan,158,16623.0,846.0
Japan,159,16651.0,858.0
Japan,160,16683.0,867.0
Japan,161,16719.0,874.0
Japan,162,16804.0,886.0
Japan,163,16851.0,891.0
Japan,164,16884.0,892.0
Japan,165,16930.0,894.0
Japan,166,16986.0,900.0
Japan,167,17018.0,903.0
Japan,168,17064.0,907.0
Japan,169,17103.0,914.0
Japan,170,17141.0,916.0
Japan,171,17174.0,916.0
Japan,172,17210.0,916.0
Japan,173,17251.0,919.0
Japan,174,17292.0,920.0
Japan,175,17332.0,922.0
Japan,176,17382.0,924.0
Japan,177,17429.0,925.0
Japan,178,17502.0,925.0
Japan,179,17587.0,927.0
Japan,180,17628.0,931.0
Japan,181,17668.0,935.0
Japan,182,17740.0,935.0
Japan,183,17799.0,952.0
Japan,184,17864.0,953.0
Japan,185,17916.0,953.0
Japan,186,17968.0,955.0
Japan,187,18024.0,963.0
Japan,188,18110.0,968.0
Japan,189,18197.0,969.0
Japan,190,18297.0,971.0
Japan,191,18390.0,971.0
Japan,192,18476.0,972.0
Japan,193,18593.0,974.0
Japan,194,18723.0,974.0
Japan,195,18874.0,975.0
Japan,196,19068.0,976.0
Japan,197,19282.0,977.0
Japan,198,19522.0,977.0
Japan,199,19775.0,977.0
Japan,200,19981.0,978.0
Japan,201,20174.0,980.0
Japan,202,20371.0,981.0
Japan,203,20719.0,982.0
Japan,204,21129.0,982.0
Japan,205,21502.0,982.0
Japan,206,21868.0,982.0
Japan,207,22220.0,982.0
Japan,208,22508.0,984.0
Japan,209,22890.0,985.0
Japan,210,23473.0,985.0
Japan,211,24132.0,985.0
Japan,212,24642.0,985.0
Japan,213,25096.0,985.0
Japan,214,25736.0,988.0
Japan,215,26303.0,989.0
Japan,216,27029.0,990.0
Japan,217,27956.0,992.0
Japan,218,28786.0,993.0
Japan,219,29382.0,996.0
Japan,220,29989.0,996.0
Japan,221,30961.0,998.0
Japan,222,31901.0,1001.0
Japan,223,33049.0,1004.0
Japan,224,34372.0,1006.0
Japan,225,35836.0,1011.0
Japan,226,36689.0,1011.0
Japan,227,38687.0,1012.0
Japan,228,39858.0,1016.0
Japan,229,41129.0,1022.0
Japan,230,42263.0,1026.0
Japan,231,43815.0,1033.0
Japan,232,45439.0,1039.0
Japan,233,46783.0,1040.0
Japan,234,47990.0,1047.0
Japan,235,48928.0,1052.0
Japan,236,50210.0,1059.0
Japan,237,51147.0,1063.0
Japan,238,52217.0,1073.0
Japan,239,53577.0,1085.0
Japan,240,54714.0,1088.0
Japan,241,55667.0,1099.0
Japan,242,56685.0,1115.0
Japan,243,57550.0,1128.0
Japan,244,58501.0,1144.0
Japan,245,59721.0,1155.0
Japan,246,60733.0,1169.0
Japan,247,61747.0,1176.0
Japan,248,62507.0,1181.0
Japan,249,63121.0,1196.0
Japan,250,63822.0,1209.0
Japan,251,64668.0,1226.0
Japan,252,65573.0,1238.0
Japan,253,66423.0,1255.0
Japan,254,67264.0,1264.0
Japan,255,67865.0,1279.0
Japan,256,68392.0,1296.0
Japan,257,69001.0,1307.0
Japan,258,69599.0,1319.0
Japan,259,70268.0,1330.0
Japan,260,70876.0,1349.0
Japan,261,71419.0,1357.0
Japan,262,71856.0,1363.0
Japan,263,72234.0,1377.0
Japan,264,72726.0,1393.0
Japan,265,73221.0,1406.0
Japan,266,73901.0,1412.0
Japan,267,74544.0,1423.0
Japan,268,75218.0,1439.0
Japan,269,75657.0,1442.0
Japan,270,75958.0,1451.0
Japan,271,76448.0,1461.0
Japan,272,77009.0,1473.0
Japan,273,77494.0,1482.0
Japan,274,78073.0,1495.0
Japan,275,78657.0,1500.0
Japan,276,79140.0,1500.0
Japan,277,79438.0,1508.0
Japan,278,79768.0,1512.0
Japan,279,80041.0,1520.0
Japan,280,80497.0,1532.0
Japan,281,81055.0,1540.0
Japan,282,81690.0,1545.0
Japan,283,82131.0,1548.0
Japan,284,82494.0,1557.0
Japan,285,83010.0,1564.0
Japan,286,83563.0,1571.0
Japan,287,84215.0,1578.0
Japan,288,84768.0,1590.0
Japan,289,85339.0,1597.0
Japan,290,85739.0,1599.0
Japan,291,86047.0,1602.0
Japan,292,86543.0,1605.0
Japan,293,87020.0,1613.0
Japan,294,87639.0,1616.0
Japan,295,88233.0,1624.0
Japan,296,88912.0,1627.0
Japan,297,89347.0,1629.0
Japan,298,89673.0,1634.0
Japan,299,90140.0,1638.0
Japan,300,90710.0,1646.0
Japan,301,91431.0,1650.0
Japan,302,92063.0,1661.0
Japan,303,92656.0,1670.0
Japan,304,93127.0,1674.0
Japan,305,93480.0,1676.0
Japan,306,93933.0,1679.0
Japan,307,94524.0,1685.0
Japan,308,95138.0,1694.0
Japan,309,95835.0,1706.0
Japan,310,96534.0,1711.0
Japan,311,97074.0,1718.0
Japan,312,97498.0,1725.0
Japan,313,98116.0,1730.0
Japan,314,98852.0,1733.0
Japan,315,99622.0,1744.0
Japan,316,100392.0,1755.0
Japan,317,101146.0,1766.0
Japan,318,101813.0,1774.0
Japan,319,102281.0,1780.0
Japan,320,102900.0,1786.0
Japan,321,103838.0,1794.0
Japan,322,104782.0,1806.0
